Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
U259,Female,1/29/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,457,259,0.35,2.77,10.94
U634,Female,1/27/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,461,256,0.31,4.43,12.48
WX444,Female,2/2/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,510,277,0.25,5.13,13.15
1326,Female,5/18/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,308,260,0.41,4.54,11.3
1775,Female,6/1/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,352,261,0.46,5.74,21.08
2036,Female,5/30/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,325,276,0.52,4.9,20.6
3249,Female,5/25/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,271,244,0.41,5.96,18.38
3373,Female,6/2/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,299,262,0.6,3.91,28.68
3874,Female,5/24/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,256,253,0.54,4.48,19.91
6143,Male,8/28/11,Yes,Yes,No,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,NA,356,0.34,2.48,14.2
R426,Female,6/5/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,350,273,0.73,7.39,27.3
T167,Female,5/16/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,333,250,0.6,4.89,23.68
